record_id	source	source_identity	evidence	public_idea_or_capability	hundun_owner	lifetime	identity_tuple	only_legal_rebuild_or_invalidation_causes	implementation_decision	prohibited_copying
SYMBOLIC_PLAN	AMReX-Hydro	https://github.com/AMReX-Fluids/amrex-hydro.git@e49df248aabd2cc11865eb5be734a2f5f2f65ee5	Projections/hydro_{MacProjector,NodalProjector}.{H,cpp}::{MacProjector,NodalProjector,m_linop}	Retain operator structure independently of current RHS and coefficients	solver_linear	across assemblies and solves with the same structural identity	(operator_kind,field_location,mesh_topology_revision,partition_revision,EB_interface_pattern_revision,boundary_position_type_pattern,stencil_pattern,backend)	operator kind/location, mesh topology, partition, EB pattern, boundary position/type pattern, stencil pattern, or backend change; never coefficient/RHS/tolerance/iteration/time-step changes	BSD-3-Clause idea, independently reimplemented as HUNDUN SymbolicPlan	No upstream source copied; no AMReX-Hydro object or API becomes HUNDUN authority
EXACT_NUMERIC_STATE	AMReX-Hydro	https://github.com/AMReX-Fluids/amrex-hydro.git@e49df248aabd2cc11865eb5be734a2f5f2f65ee5	Projections/hydro_MacProjector.{H,cpp}::{updateBeta,updateCoeffs}	Refresh current fine/coarse numeric coefficients without reconstructing structural operator ownership	solver_linear	across solves while the complete fine/coarse coefficient identity is unchanged	(SymbolicCoarsening_identity,diagonal_revision,off_diagonal_revision,time_coefficient_revision,material_transport_revision,numeric_boundary_coefficient_revision,constraint_revision,coarse_numeric_policy)	every coefficient tuple change refreshes all exact fine/coarse data required by apply/residual before certification; RHS/initial guess/tolerance/iteration changes never refill	BSD-3-Clause idea, independently reimplemented as HUNDUN ExactNumericState	No upstream source copied; coefficient setters and hierarchy representation are not copied
PRECONDITIONER_SETUP	AMReX-Hydro; HYPRE/PETSc lifecycle corroboration	https://github.com/AMReX-Fluids/amrex-hydro.git@e49df248aabd2cc11865eb5be734a2f5f2f65ee5	Projections/hydro_{MacProjector,NodalProjector}.{H,cpp}::{m_linop,m_mlmg,updateCoeffs}; official HYPRE/PETSc setup-reuse documentation	Retain smoother/coarse-solver/backend setup separately from the current exact operator	solver_linear	across solves under a registered setup-reuse policy	(SymbolicCoarsening_identity,setup_algorithm_backend,smoother_coarse_parameters,setup_coefficient_identity_or_reuse_epoch)	setup refresh only for structural/setup-policy change, forced refresh or coefficient change crossing the setup threshold; reuse requires current exact operator plus FP64 true residual	Independently implemented HUNDUN PreconditionerSetupState; threshold never skips exact/coarse numeric refresh	No upstream object, setup control flow or representation copied
SOLVER_WORKSPACE	AMReX-Hydro	https://github.com/AMReX-Fluids/amrex-hydro.git@e49df248aabd2cc11865eb5be734a2f5f2f65ee5	Projections/hydro_{MacProjector,NodalProjector}.{H,cpp}::{project,m_mlmg,m_phi,m_rhs,m_fluxes}	Retain maximum-capacity solve fields and scratch across calls	solver_linear	case execution at registered maximum compatible capacity	(solver_algorithm,backend,precision_policy,execution_plan_revision,maximum_registered_shape,maximum_krylov_subspace_capacity,reduction_layout)	replace only for algorithm/backend/precision/execution-plan change or required shape/subspace/reduction capacity beyond registered maximum; never coefficient/RHS/tolerance/iteration/retry changes	BSD-3-Clause idea, independently reimplemented as HUNDUN SolverWorkspace	No upstream source copied; no AMReX-Hydro storage layout reused
COAST_THERMO	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/densty.F90::densty; SRC.Coast/temperature.F90::Temperature; SRC.Coast/compress.F90::compress	Local absolute-pressure EOS density/temperature and pressure density derivative in pressure correction	physics_thermo	derived state for current trial thermodynamic revision	(local_absolute_pressure_revision,enthalpy_revision,composition_revision,thermo_model_revision)	local absolute pressure, enthalpy, composition, or thermo-model change	User-specified read-only functional reference; clean-room HUNDUN implementation	No old COAST Fortran copied or translated; no line-by-line port
COAST_ACOUSTICS	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/speedofsound.F90::speedofsound; SRC.Coast/averaged.F90::averaged; SRC.Coast/app/coast_legacy_driver.F90::mach_number updates	Mixture sound speed and Mach diagnostics	physics_diagnostics	derived state for current rho/T/composition/U revision	(thermo_revision,velocity_revision,diagnostic_definition)	thermo/composition/velocity or selected diagnostic-definition change	User-specified read-only functional reference; independently implement one documented HUNDUN authority	No old COAST Fortran copied or translated; do not conflate observed boundary |U|/c and field |U|sqrt(drhodp) diagnostics
COAST_BOUNDARY_TURBULENCE	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/{bndry_NSCBC,boundary_NSCBC,gamma_vreman,wall,boundary_wall}.F90::{bndry_NSCBC,boundary_NSCBC,gamma_vreman,WALL,boundary_wall}	NSCBC, Vreman SGS, and wall-function capability	bc_plan and physics_turbulence	boundary/turbulence plans persist for case; numeric outputs follow current fields	(boundary_schema_revision,patch_geometry_revision,thermo_model_revision,turbulence_model_revision,wall_model_revision)	boundary schema/patch geometry/thermo/turbulence/wall-model change	User-specified read-only functional reference; independent equations and tests	No old COAST Fortran copied or translated
COAST_SIMPLE_LOOP	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/app/coast_legacy_driver.F90::{coast_multibrick_run_timesteps,coast_multibrick_state_update,coast_multibrick_pressure_correction}; input.d::niter	SIMPLE-style transient outer iterations alternating state update and pressure correction	reference_only	observed per-step niter loop	(time_step,outer_iteration,momentum_state,pressure_state)	observational reference only; no HUNDUN rebuild rule	Functional replacement reference only; v0.4 uses exactly two PISO correctors, not SIMPLE	No old COAST Fortran copied or translated; no SIMPLE control flow adopted as v0.4 requirement
COAST_FLAT_INPUT	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/input.F90::input; EXEC/{input,probe,vtk_output}.d	Flat .d case inputs	app_case_compiler	initialization only; discarded after typed model/plan freeze	(case_root,referenced_file_hashes,input_schema_version)	case file/hash/schema change before a new run; never reparsed in the hot loop	Functional replacement reference; v0.4 case.json owns configuration and flat .d files hold referenced bulk data	No old parser code, fixed record order, or Fortran input implementation copied
COAST_STL_SCAN	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/imb_mesh_y.cpp::{read_ascii_stl_faces,sub_c_,sub_inseb_,sub_insec_,sub_insed_,imb_point_scan_}; SRC.Coast/imb_mesh_minimal.F90::imb_mesh_driver	STL ingestion and axis ray-scan capability	mesh_stl_scan	initialization only; compiled result owned by EBTopology	(stl_content_hash,unit_transform,cartesian_mesh_revision,scan_policy_revision)	STL content/unit transform/mesh/scan-policy change	Task 1 records capability and copies no source; the sole exception reserved for Task 5 is the user's authorization to port/adapt the imb_mesh_y.cpp scan mathematics/method without provenance boilerplate	No old COAST Fortran copied or translated; no other COAST C++ reuse is authorized
COAST_IO	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/finish.F90::finish; SRC.Coast/vtk.F90::{vtk,vtkblocks}; SRC.Coast/{output,coast_screen_summary}.F90::{output,coast_screen_write_step_summary}	Restart, Visit/VTK, and screen diagnostics	io_restart, io_visit, io_screen	cold-path/snapshot events; no authority over solver state until validated commit	(run_identity,accepted_state_revision,mesh_identity,field_schema_revision,output_policy_revision)	accepted snapshot/output policy event; restart read publishes only after validation; mesh/schema mismatch rejects or invokes an explicit cold-path remap	User-specified functional replacement reference; independent formats and transactional publication	No old COAST Fortran, binary layout, or formatting code copied or translated
COAST_ICCG	COAST	COAST@observed-worktree-2026-08-13	SRC.Coast/cgsol.F90::{cgsol,cgsol_multibrick}; SRC.Coast/module_coast_pressure_solver.F90::{coast_pressure_solve,coast_pressure_solve_legacy_iccg}; SRC.Coast/numerics/coast_numerics_wrappers.F90::solve_pressure_cg	ICCG pressure-solver assemble/solve/residual lifecycle	solver_linear_reference	observed per pressure solve; arrays and preconditioner preparation are coupled to current system	(coefficient_state,RHS,partition,IBM_state,solver_controls)	observational replacement reference only; HUNDUN uses separate Symbolic/CoarseningPlan, ExactNumericState, PreconditionerSetupState and SolverWorkspace rules	Capability/lifecycle reference only; independently implement HUNDUN Krylov/MG stack	No old COAST Fortran copied or translated; ICCG storage/control flow is not adopted
COAST_BOUNDARY_LIMIT	COAST	/home/wyf/code_dev/Coast_software@observed-worktree-2026-08-13	SRC.Coast/{bndry1,bndry2,bndry3,bndry2dp,bndry_NSCBC}.F90 boundary tables; fixed design section 17	Observed COAST reference has no periodic-boundary product capability; only nonperiodic comparison cases are eligible	reference_only	reference selection constraint	(reference_product,case_boundary_set)	Any periodic requirement makes the COAST comparison ineligible	Limitation only; HUNDUN v0.4 still requires periodic and nonperiodic boundaries	Do not turn this reference limitation into a v0.4 algorithm requirement
